Purchase date;First name;Last name;Age;Car brand;Mileage (km/year)
2017-03-16;Luke;Walsh;75;Peugeot;784
2013-12-20;Nita;Will;68;Volkswagen;6619
2017-01-20;Rick;Weimann;52;Citroen;14768
2016-05-04;Forrest;Kozey;18;Ford;6306
2018-08-17;Ignacia;Kuhic;43;Renaud;3557
2015-11-15;Theodora;Runolfsson;39;Citroen;17502
2013-06-26;Jerrell;Shanahan;45;Ford;5262
2018-01-04;Brandi;Schumm;43;Nissan;20284
2009-01-24;Jan;Ward;19;Volkswagen;8357
2009-08-29;Anthony;Medhurst;17;Tesla;18387
2009-02-09;Elbert;Bechtelar;63;Renaud;3749
2018-12-26;Arron;Hoppe;65;Citroen;14048
2017-04-19;Regan;Christiansen;18;Volkswagen;3243
2018-04-02;Beatris;Schmeler;35;Tesla;2299
2016-09-25;Denver;Pouros;33;Nissan;15686
2009-05-18;Jewell;Bahringer;22;peugeot;7325
2013-11-05;Abdul;Torphy;70;peugeot;13085
2017-05-15;Chan;Koepp;43;Volkswagen;6237
2011-10-09;Dodie;Bernhard;16;Nissan;17050
2010-01-27;Gary;Konopelski;55;Ford;9361
2008-06-27;Jim;Gaylord;24;peugeot;1673
2016-03-16;Garry;Johnson;20;Peugeot;3238
2008-05-03;Roscoe;Schuppe;30;Tesla;18559
2016-08-12;Jerilyn;Hirthe;30;Tata;9840
2010-05-02;John;Langworth;68;Ford;5379
2012-05-26;Shirl;Roberts;70;Citroen;13805
2011-07-27;Geraldine;Wiegand;64;Renaud;6816
2015-11-15;Aubrey;Grady;55;Peugeot;3777
2018-12-26;Florentino;Jast;56;Citroën;9943
2017-03-30;Martin;Pacocha;48;peugeot;14835
2015-01-02;Woodrow;Carroll;64;peugeot;19116
2008-07-23;Sherry;Hansen;68;Renaud;12967
2011-07-27;Ramiro;Shields;31;Peugeot;14903
2010-08-27;Alec;Nicolas;30;Tata;11905
2014-05-29;Lilliam;Emmerich;59;Renaud;14100
2018-01-04;Kasey;Nolan;32;Citroen;18530
2014-08-25;Sanjuana;Maggio;56;Volkswagen;11891
2015-03-12;Delora;Pollich;52;Citroen;11837
2011-09-04;Lexie;Ruecker;26;Ford;3845
2008-05-03;Camellia;Treutel;34;Ford;18496
2008-06-27;Valeria;Balistreri;36;Renaud;12523
2008-05-03;Cherly;Bashirian;68;Ford;1649
2015-10-05;Cari;Kuphal;25;Tesla;12076
2009-04-25;Demetrius;Schroeder;60;Citroen;20413
2008-11-06;Eloy;Kilback;63;peugeot;13368
2017-04-21;Salina;Pagac;68;Renaud;3917
2014-05-29;Zackary;Rempel;27;Ford;2084
2014-05-29;Marylyn;Marquardt;68;peugeot;4386
2016-10-25;Eleanore;Kihn;75;peugeot;14629
2011-08-22;Veola;Corwin;27;Ford;10596
2009-02-09;Trey;Kutch;22;peugeot;3180
2009-06-17;Annelle;Glover;25;Ford;12180
2015-07-07;Ellen;Herman;71;Citroen;1079
2010-10-29;Francis;Blick;43;Peugeot;4904
2011-10-23;Marinda;Jaskolski;31;Tesla;17855
2008-10-04;Refugio;Farrell;34;Tata;17763
2013-06-28;Wenona;Mohr;54;Citroen;4917
2017-04-19;Cira;Wiza;75;Citroën;12784
2014-05-29;Dewayne;Borer;29;Volkswagen;18861
2011-08-22;Dudley;Murray;54;peugeot;20028
2010-01-27;Taren;Kassulke;21;Volkswagen;1999
2018-07-12;Ligia;Hand;68;Ford;13955
2012-01-27;Vallie;Gibson;31;Nissan;16325
2011-09-04;Dalton;Gulgowski;63;peugeot;19767
2016-10-25;Avery;Deckow;23;Nissan;4998
2010-05-02;Edmund;O'Hara;52;Nissan;827
2010-01-27;Tobias;Dicki;55;Ford;6732
2018-04-02;Boyce;O'Connell;72;Tesla;13102
2016-03-16;Roman;Reichert;35;Tesla;2384
2018-03-10;Fredric;McDermott;29;Citroen;17546
2013-12-14;Val;Mayer;40;Ford;3918
2013-06-26;Jeremiah;Lynch;72;Ford;16489
2010-05-02;Virgina;Bradtke;39;Nissan;15396
2018-07-12;Carmen;Greenholt;36;peugeot;12142
2015-01-02;Louie;Cronin;74;Tata;6405
2011-01-09;Buddy;Gutmann;24;Peugeot;14648
2016-12-03;Odilia;Cassin;63;Tesla;17354
2012-05-26;Lottie;Zieme;60;Nissan;14173
2011-07-27;Tiffanie;Kunze;28;Peugeot;18374
2018-07-12;Francisco;Ratke;60;peugeot;5700
2017-10-25;Julian;Dibbert;37;peugeot;10355
2017-04-19;Joshua;Fahey;21;peugeot;17605
2008-06-27;Mose;Harber;56;Citroën;11428
2018-05-30;Oma;Krajcik;34;Peugeot;4567
2009-05-18;Ethan;Predovic;74;Volkswagen;15811
2014-05-24;Lea;Conroy;42;Ford;6649
2018-04-02;Branden;Schulist;43;Citroen;15971
2018-07-12;Marquis;Grimes;21;Citroen;6965
2008-07-23;Jennette;Collins;62;Ford;13396
2018-03-10;Gaynelle;Kuvalis;47;Citroen;12768
2009-07-14;Tracie;Schmitt;20;Tata;20448
2011-10-21;Timmy;Stamm;36;Peugeot;5668
2017-05-15;Hildegarde;Bergstrom;66;Citroën;17193
2018-07-12;Mohamed;Simonis;59;Nissan;18676
2008-06-27;Cecille;Crooks;29;Citroen;7060
2016-01-28;Sol;Brown;49;Ford;1215
2008-09-12;Walter;Schimmel;20;Citroen;16913
2011-10-21;Pok;Larson;67;Volkswagen;10143
2017-10-25;Kathyrn;Kshlerin;75;Tesla;5293
2018-03-10;Carson;Bode;46;Ford;11618
2008-06-27;Carola;Ferry;67;Nissan;16040
2010-05-20;Angelo;Ondricka;35;Ford;12132
2017-02-18;Mario;Leannon;37;Citroen;10688
2009-07-14;Meryl;Hickle;59;Renaud;1953
2012-03-09;Hal;Walter;55;Renaud;9910
2017-12-20;Esta;Blanda;40;Tesla;17059
2018-03-10;Laurinda;Kautzer;67;Tata;13840
2015-03-03;Jeri;Pfeffer;50;peugeot;3721
2013-06-17;Melani;Schaefer;17;Citroën;18427
2018-12-26;Van;Parker;59;Renaud;17936
2013-06-26;Lauren;Gislason;23;Tesla;10444
2011-08-22;Carroll;Batz;16;Nissan;3940
2011-07-26;Rayna;Schmidt;34;peugeot;11367
2009-06-17;Dinah;Hartmann;30;Renaud;4960
2016-09-25;Barbra;Ortiz;24;Peugeot;1446
2017-04-23;Casey;Stracke;58;peugeot;20191
2008-11-21;Richie;Bogan;28;Nissan;7140
2014-04-17;Mahalia;O'Conner;54;Tata;18393
2008-12-19;Machelle;Wunsch;20;Tata;8161
2009-12-27;Sulema;Kiehn;55;Peugeot;15587
2015-11-13;Noah;Zemlak;22;Peugeot;8577
2014-05-13;Denna;Gerhold;30;Citroen;14449
2017-04-21;Vincent;Halvorson;64;Tesla;17879
2017-01-15;Dee;Tillman;46;Renaud;9162
2018-03-10;Benito;Schaden;44;Citroen;14138
2009-12-27;Tennie;Rodriguez;23;Tata;14497
2012-01-27;Willian;Waters;44;Ford;17033
2012-03-09;Rachell;Johns;68;Ford;3420
2015-09-01;Dot;Mraz;29;Tesla;15602
2018-12-26;Lorine;Abernathy;24;Peugeot;15051
2016-08-12;Noble;Sauer;62;Tata;14707
2015-11-15;Reed;Gleichner;53;Renaud;3015
2013-12-14;Rolande;Schneider;75;Tata;8383
2016-01-28;Simona;Marvin;47;Citroen;5044
2009-03-06;Deja;Cole;66;Volkswagen;7256
2018-04-02;Fae;Kirlin;21;Nissan;6688
2014-04-17;Will;Jakubowski;37;Peugeot;4206
2008-05-03;Delia;Yost;33;Volkswagen;12584
2011-07-04;Yael;Lynch;46;Citroën;921
2012-07-05;Harlan;Renner;74;Peugeot;19671
2010-04-12;Rafaela;Schuppe;17;Tesla;10125
2011-04-20;Peter;Waelchi;65;Ford;3315
2008-05-03;Eldon;Wisoky;35;Renaud;5140
